AH,Vis_Min,Part_Min,Temp,Vis,Dist
4.765033149,15030.3227437291,0.0,8.910265298,15517.00048,2012.580606
8.659938261,56412.3345230753,0.0,11.44201351,58330.39802,2959.89006
4.639319118,6175.11607587235,0.0,0.059641451,6424.212137,4819.6798
19.87453548,26872.0547439258,0.0,24.14034965,27645.96885,3969.679261
18.16951089,16035.7609833815,0.0,23.09974977,17462.60013,2119.587133
4.265714371,74443.2687254023,0.0,4.978217712,75004.84011,2019.232264
6.256370949,5020.09078591901,0.0,10.08923082,5088.135256,2583.710598
16.47929895,17039.5399297915,11.1663025169073,21.33540587,17921.96708,2964.371903
4.757394245,13534.4217893496,0.0,0.975422486,14013.29264,4827.999784
6.441054196,27806.3508145974,0.0,16.61619608,28322.05462,2589.061676
11.6405254,32730.7369796254,6.41572240693832,17.49016832,35071.32228,2021.393048
15.5131936,25763.9948332976,21.3671353700205,21.49179498,26781.32174,2962.098976
6.828937353,26473.8468371483,0.0,7.873936312,27358.07722,4826.440361
20.29652329,12164.1862147316,31.8808899286235,25.37617554,12581.61323,2955.527311
19.50390676,15644.9215979235,0.0,27.15039142,15808.36998,2114.815898
17.71778341,29947.5979214933,0.0,22.95312309,32504.57771,2959.679724
6.49727395,70752.5523165443,17.4544027981449,9.492792424,73491.74015,4825.939292
21.78713689,18113.5981629423,0.0,29.4695594,18492.67122,3967.529495
4.573096616,21195.848852599,0.0,8.527941861,23342.60498,2012.403016
4.244669103,62459.6079838324,0.0,8.438260372,62786.62746,4820.878696
18.24497443,27196.5354329371,0.0,26.8739972,28451.89034,2964.261769
8.653054524,19990.6435438275,0.0,15.83772114,21609.91568,2589.176798
7.673889011,9044.35644408104,0.0,9.170421191,9272.975683,2585.585999
20.75057698,26240.8176644659,6.45905837130855,26.81708168,27208.39446,3964.45164
7.157094162,8479.73123861935,0.0,8.051000588,8663.189204,2584.226786
6.857121447,72554.6002731106,9.43536028416301,8.173325261,75001.10899,4821.596044
15.98388118,27631.1663463208,0.0,22.93888025,29455.31989,2955.678278
14.0674753,54948.5078858066,0.0,24.3652658,59492.175,2964.908587
17.17816989,3506.38532299856,256.141311823931,22.01095007,3630.611368,2958.601625
2.524678864,69909.5524880593,0.0,9.631368741,74999.57724,2021.536304
19.65441673,5477.58288501297,85.5473370794467,23.6828643,5749.755582,2120.132026
22.68379005,23456.6869675005,0.0,26.2807264,23582.78187,3966.372214
3.597556716,62726.6320738973,0.0,4.947350518,66183.77263,2014.867497
6.613972281,6618.87958806005,4.57822163989373,4.862580769,7272.936424,4820.249268
18.84602975,35021.7890722789,0.0,23.21413311,35977.22286,2115.850113
7.08141792,69723.2178449178,0.0,9.102782458,74997.00674,4820.271979
3.994530687,9830.4986265925,0.0,-1.680976555,10459.22478,4824.744193
6.168963326,11041.3886952384,41.9846546550375,5.771631642,12242.54466,2015.266232
11.04580719,9986.68413201883,19.2255618148723,13.59135795,10514.72739,2021.42886
6.473128783,16773.4361598071,16.830768667995,5.256352784,17480.67769,4822.205148
3.381882936,72880.7601063919,0.0,3.955383188,74995.47372,4825.481141
7.147537023,3292.773424074,6.49009166270405,6.365665642,3609.167895,4820.523935
6.073481398,4819.04280703481,175.109130431451,4.559802075,4895.822571,2018.823295
3.565269985,56322.5255005488,8.67023683684389,0.334355848,59905.75108,4820.36381
6.352968198,12406.7704467234,0.0,6.00189967,13573.95537,4821.640793
9.080126658,70313.8246951158,0.0,21.11848703,74991.46997,2018.741397
20.38823444,16218.351978409,18.685699668237,25.63978962,16881.73435,2957.942337
10.79391346,15578.9055140084,25.5786643610727,15.18885146,15750.64481,2012.082046
5.073539779,14252.4804209256,0.0,2.398806054,14290.11959,4826.864279
11.6327403,4714.58738013324,49.4146953348202,13.65558158,4926.514429,2017.436725
7.525399308,6676.18342060728,0.0,7.929062341,6739.395506,4821.685929
2.95258326,34643.1024698537,0.0,10.28618977,37183.66732,2016.950999
15.72567733,25096.4222710263,13.0002211513088,21.19028986,25732.60848,2959.522237
3.718400578,20636.5955832228,0.0,-2.205222958,21305.26405,4823.910388
6.281808078,33913.120091294,0.0,21.29138363,34009.63244,2018.459679
3.494358938,67641.6098765375,0.0,-0.215723559,74701.82251,4821.780126
6.069769834,25087.0379536566,0.0,11.74021683,27372.51245,2015.345664
6.351205568,35932.8615134859,0.0,5.403142008,39105.39874,4825.499901
3.097953865,63942.5793699657,0.0,-0.821473571,68140.90257,4823.429401
22.16460917,4802.69793209633,69.9819957518599,26.88234497,5063.268357,2964.597455
20.34147955,17394.1205886761,29.980087615069,23.41341327,17679.81664,2956.994715
21.25100306,11308.6725834203,0.0,29.70658735,12494.4749,3966.925189
2.942285735,71104.7771554418,0.0,8.213104627,75004.73295,4823.375236
7.351542447,35864.940701691,0.0,18.75613593,38869.20948,2021.234393
15.45716922,32926.3375047105,0.0,21.12457252,35892.87348,2955.157677
2.553958988,57152.472120087,0.0,8.201942585,60550.33979,2019.514055
16.46400191,2355.20239719371,392.792490488584,21.29007482,2563.914005,2964.476064
18.27977712,43944.1466368086,0.0,26.02059102,48482.67974,2955.79545
7.743090549,4862.4592221407,80.0674152557625,7.775478855,5183.929538,2019.370116
21.97871991,12996.7783121288,0.0,29.46926058,14386.59529,3962.461808
5.813424479,69918.9202286803,0.0,5.96675117,72849.07371,4823.68697
5.080984728,24942.2936816435,11.6228999224515,2.967152304,25317.05121,4823.406777
17.26994734,36837.9285406631,10.4860917787635,23.07504261,37199.91307,2961.452737
4.583253394,6646.86288929236,30.8140197163174,0.51385023,6812.274831,4818.56323
4.707672581,19063.9778099346,0.0,6.003968247,20042.62723,2019.303485
5.302048056,70388.0504553605,0.0,4.303300331,75001.81887,4822.93077
15.29096382,30074.0098242139,0.0,20.69040291,31679.6013,2955.288191
4.65496947,40876.4183692402,7.34210988805655,0.747924686,41297.47052,4823.781642
2.177339117,71869.0008503104,0.0,11.42425288,74997.96369,2018.033218
20.47757207,4808.48899193622,117.245868646011,25.71361109,5285.744189,2961.722037
4.565479099,42551.730763292,0.0,1.818339432,46030.10849,4826.973371
10.64763433,68196.8355725299,0.0,18.71961521,75003.73086,2018.253175
2.2525748,68409.612696581,0.0,2.346920551,75004.02882,2012.475941
5.04521027,6624.36388039081,0.0,4.239293972,7293.655894,2012.132544
9.47981387,1535.5814877572,0.0,11.9065276,1584.330388,2589.64
2.996257172,4580.43227238163,0.0,-6.258868192,5075.276634,4825.552401
6.433128173,18905.1224934289,7.76332229668543,5.261843988,20976.55199,4823.397571
10.09612957,15033.0771936054,0.0,11.42018788,15212.91387,2019.228755
7.060618641,5531.90368657789,96.143660842603,7.66080704,6058.12844,2021.908039
5.370329059,67614.0993727875,0.0,9.332633652,75000.59659,4822.838072
18.73501253,43770.9917158716,0.0,26.24812997,45678.91967,3962.69254
4.689495059,30305.2276252216,5.76310265083208,3.438709129,32491.81518,4822.603234
6.047170481,24121.7317856378,0.0,15.60226772,25424.99017,2014.658165
20.07181721,13785.1368944643,0.0,25.18863079,14502.83636,2955.019143
11.9233801,2414.27821966684,325.156137714343,14.26934353,2418.290517,2018.744359
5.038229319,11548.966369574,70.6299395724661,1.293719594,12184.78522,4818.33275
6.189224183,64686.1520937137,0.0,4.870095637,69959.15033,4820.33929
6.512183316,3873.15567084314,79.8907729626711,4.462331931,3971.992956,4827.241762
4.399423393,19313.6649213053,0.0,0.591024568,20858.9871,2016.698272
11.13169971,71173.1805911468,0.0,24.08795016,75004.69205,2957.692674
14.79007904,10071.4390617028,61.7803691027378,20.4916323,10632.67928,2960.639462
